AccID	KO1	KO2	KO3	KO4	WT1	WT2	WT3	WT4
Abcc5	1631	1351	1206	1316	2471	3788	2755	4094
Abcc6	4	2	0	3	2	3	4	0
Tent5a	488	399	480	483	393	365	391	280
Abcc9	168	194	310	351	307	383	387	761
Art2b	2	0	2	1	3	2	0	3
Tent5d	1	0	2	1	0	3	0	0
Tent5b	1024	872	1219	514	247	136	137	174
Tent5c	308	306	296	292	235	368	365	431
Ghrhr	0	0	0	1	0	3	4	7
Gm20765	0	0	0	0	0	0	0	0
Gm20767	0	0	0	0	0	0	0	0
Mcam	1148	937	1183	2048	1253	1175	1435	2444
Vps11	1353	1329	1346	1039	1046	747	807	857
Mcat	593	716	487	501	229	252	189	325
Ankra2	353	414	368	365	274	314	246	326
Vps16	793	724	725	728	550	517	480	767
Abo	0	0	0	0	3	0	1	1
Abr	2341	2157	2488	2915	2546	2109	2231	1910
Bcan	39	111	47	33	166	195	242	237
Wdhd1	155	189	229	284	131	162	142	121
Bcam	7000	8122	5481	5712	9150	6797	7872	11099
Chic2	974	846	827	846	735	1190	677	872
Chic1	164	90	166	244	190	104	32	37
T	1	0	2	0	0	0	1	0
Gm3029	0	0	0	0	0	0	0	0
Gm32717	0	1	0	0	0	0	0	1
Rrs1	841	831	1426	1144	250	222	180	250
Gm3020	0	0	0	0	0	0	0	0
Nfe2	69	41	69	70	24	31	18	36
Plk5	15	4	9	20	13	16	4	10
a	5	3	0	4	0	0	0	0
Ace	8225	7204	2549	4105	4657	4797	5178	4037
Gm6993	0	0	0	0	0	0	0	0
Plk3	371	435	430	610	388	213	296	349
Acd	366	420	284	254	288	316	245	369
Gm5662	0	0	2	0	0	0	0	0
Plk4	0	0	0	0	0	0	0	0
Plk1	215	377	415	474	224	191	207	236
Plk2	714	805	666	886	863	793	1030	1462
Bmpr1a	2261	2142	2528	2402	1903	3211	2241	2432
Cyb561a3	654	521	513	471	814	839	740	431
Bmpr1b	62	64	155	77	37	81	49	55
Ell2	717	613	886	999	938	1178	1147	1397
Ell3	9	24	25	16	78	33	37	82
Grpr	4	2	3	0	0	6	0	1
Abca1	2569	2799	2676	2427	2092	2771	2235	2257
Abca2	1167	1051	1109	1056	1432	1682	1527	1319
Acr	6	10	1	7	11	15	7	8
Abca5	457	493	312	544	681	1451	597	519
Abca6	118	90	91	16	19	60	32	10
Abca3	7569	8402	6166	5411	13633	14577	17919	13440
Abca4	58	103	32	59	79	81	107	121
Abca9	384	227	451	215	200	208	211	117
Gm3015	0	0	0	0	0	0	0	0
Abca7	1432	1152	1253	975	951	883	802	784
Atp5mpl	455	643	624	618	289	422	370	473
Gm3012	0	0	0	0	0	0	0	0
Ada	124	118	119	137	24	24	13	27
Glcci1	15	24	21	17	23	37	35	30
Pllp	57	84	41	47	326	488	237	772
Rrp12	354	401	391	352	170	235	153	224
Zscan4-ps3	0	0	0	0	0	0	0	0
Adk	1474	1309	1107	898	1139	1616	1625	2097
Gm20708	0	0	0	0	0	0	0	0
Adm	149	176	64	121	71	35	60	172
Ado	0	0	0	0	0	0	0	0
Rrp15	384	326	520	423	126	103	91	145
Chia1	1661	1858	899	756	1111	1348	2077	912
Gm3047	0	0	0	0	0	0	0	0
Gm3045	0	0	0	0	0	0	0	0
Olfr237-ps1	0	0	1	0	0	0	0	0
Gm3043	0	0	0	0	0	0	0	0
Zik1	36	50	73	77	15	35	27	23
Diexf	269	209	283	286	103	242	202	189
Folh1	8	14	62	0	2	4	2	0
Lrrc7	3	4	0	0	0	0	0	1
Nup85	682	592	879	847	339	327	359	447
Edrf1	422	387	426	469	484	798	678	757
Lrrc9	5	5	7	5	5	11	21	13
Aen	321	320	384	384	228	135	167	303
Nup88	892	1046	1053	1072	728	723	574	813
Aes	3412	3492	3294	3264	4310	2736	3204	4389
DXBay18	0	0	0	0	4	0	1	1
Diras1	4	2	0	1	0	0	0	0
Diras2	66	35	57	192	22	158	52	21
Irak1bp1	155	97	121	106	40	76	44	41
Gm3033	0	0	0	0	0	0	0	0
1700022I11Rik	0	1	0	0	0	0	0	0
Lrrd1	3	5	2	2	2	0	1	3
Doxl2	0	0	0	0	0	0	0	0
Gm3072	0	0	0	0	0	0	0	0
Nup93	705	810	1089	963	523	599	446	905
Lmbr1	330	288	338	447	455	508	328	494
Gm20721	0	0	3	0	1	0	0	0
Bglap	0	0	0	0	2	5	0	0
C530008M17Rik	31	65	13	12	92	149	196	75
Ctla4	2	12	4	7	2	0	0	7
Ep300	2910	2550	2658	3209	2376	2599	2410	2142
Gemin6	145	171	174	207	49	53	38	79
Afm	12	12	12	16	1	2	7	41
Gemin7	885	908	860	892	376	244	281	445
Afp	18	8	14	13	66	91	71	183
Gemin4	6	3	0	1	1	3	0	0
Nup98	1759	1823	1861	1854	1858	2018	1760	2187
Rrp36	370	292	359	324	194	118	151	191
Gemin5	547	563	702	766	458	494	357	392
Olfr1174-ps	0	0	0	0	0	0	0	0
Gemin8	108	105	164	166	59	138	65	111
Tbccd1	289	262	280	300	226	227	226	268
Nfib	1882	1888	1858	1929	2000	2556	2362	2373
Nfia	573	619	576	574	575	1102	907	921
Acvrl1	1177	1477	766	1186	1181	1541	1575	901
Nfic	1955	2057	1984	2618	1496	1467	1698	1435
4930578G10Rik	0	0	0	0	0	0	1	0
Lrrc3	54	56	15	34	26	6	30	20
Rrp1b	359	371	596	635	264	342	277	368
Fosb	81	90	119	104	355	241	449	1294
Lrrc4	14	10	12	7	65	47	75	55
Zim1	0	1	0	2	4	1	5	4
Aga	272	309	303	315	223	272	173	279
Lrrc6	16	9	14	14	19	46	12	7
Lrrc1	331	282	394	339	419	617	487	491
Lrrc2	8	6	3	10	59	23	17	11
Ankrd9	217	227	179	198	63	64	42	119
Agk	132	114	139	118	96	63	88	105
Tex19.2	1	0	0	0	0	0	0	1
Tex19.1	0	0	0	0	0	0	0	0
Gm20715	0	2	0	1	0	0	0	0
Mcf2	0	0	0	0	0	0	0	0
Agl	518	468	515	500	836	830	523	860
Elp2	1037	960	1155	1380	898	1250	859	1388
Ankrd2	5	8	6	4	0	3	0	1
Gm20716	0	0	0	0	0	0	0	0
Scand1	463	471	376	352	159	197	128	190
Ankrd1	868	1304	720	49	682	316	122	141
Elp4	97	131	133	175	108	193	115	176
Elp3	974	816	747	852	735	828	666	1153
Ankrd7	0	0	0	7	0	1	0	0
Elp6	126	100	107	172	68	60	33	64
Pdzrn4	8	25	4	0	2	0	1	0
Ankrd6	258	256	126	259	19	56	48	25
Elp5	515	541	462	594	407	277	355	499
Agt	62	24	109	20	17	23	22	57
Pdzrn3	1287	1535	730	494	227	244	287	250
Mcee	110	143	105	136	86	57	85	98
Cyp21a1	7	0	20	30	57	304	92	297
Gemin2	119	185	163	124	85	87	65	123
Eloa	1368	1392	1453	1647	1157	985	1029	1256
Plp2	1217	1077	1414	1276	1203	1383	869	1140
Eloc	699	778	877	916	469	684	542	656
Elob	1189	1082	1390	1099	949	675	696	1346
Plp1	43	62	24	49	32	46	21	24
Gm3055	19	14	15	26	8	23	9	6
Atxn3	659	736	707	729	806	1020	750	938
Bche	292	88	218	24	110	544	116	288
Atxn1	1221	1102	1055	1307	819	1105	1008	987
Atxn2	1064	960	1017	1158	1022	1272	1014	1275
Atxn7	734	822	810	1059	844	1042	932	822
Gm17174	0	0	0	0	0	0	0	0
Ripply2	0	0	0	0	0	0	0	0
Gm17175	0	0	0	0	0	0	0	0
Ripply3	127	140	65	113	467	263	144	134
Rimbp2	18	2	4	6	1	0	1	0
Gm44790	0	0	0	0	0	0	0	0
Rimbp3	1	1	1	1	0	0	0	0
Ripply1	1	0	0	0	5	3	6	0
Ahr	953	911	1004	1372	1723	1779	1199	1640
Hist1h3d	14	10	20	19	16	5	7	18
2010106E10Rik	1	0	0	0	0	0	0	0
Fam58b	272	231	205	163	111	121	105	109
Hist1h3e	0	1	3	2	3	7	2	1
Hist1h3b	0	4	0	3	5	1	0	3
Hist1h3c	3	3	14	5	4	0	0	8
Hist1h3h	1	3	0	0	0	0	0	5
Hist1h3i	8	0	0	0	6	6	3	3
B020004J07Rik	0	0	0	0	1	0	0	0
Hist1h3f	5	1	1	0	0	0	3	0
Hist1h3g	1	2	8	4	3	0	2	14
Oip5	34	48	52	73	28	42	28	29
Pls3	5811	5210	6749	5579	6051	9582	5453	7525
Pls1	170	149	175	169	805	960	432	741
Hist1h3a	0	5	0	0	0	3	1	4
Nfix	3093	2708	2916	2254	1410	1340	1790	1482
Mtrf1	51	57	86	87	61	66	54	92
Ak1	452	537	613	657	184	218	242	518
Dio1	15	7	16	13	15	26	6	27
Ak3	1137	1336	1218	972	1746	2731	1839	2102
Cfl1	10163	11399	10043	8332	5818	3936	3873	6223
Dio2	312	327	112	116	9	21	45	40
Aip	0	0	0	0	0	0	0	0
Ak2	1181	1265	1539	1829	465	334	446	718
Cfl2	1158	1252	1441	1480	837	1522	1036	1310
Dio3	10	11	4	9	16	4	6	21
Ak5	14	16	25	15	8	8	8	14
Ak4	232	212	372	618	353	147	145	289
Ak7	102	58	77	81	86	151	119	67
Ak6	120	125	194	192	78	57	65	98
Ak9	22	23	28	40	23	75	59	16
Ak8	63	55	31	29	41	31	84	30
Fam57a	244	303	266	381	361	310	285	262
Fam57b	6	26	19	15	13	7	11	17
Thg1l	118	166	173	158	53	65	59	82
6430571L13Rik	0	3	5	1	2	0	3	0
Porcn	321	295	345	308	654	416	279	487
Cnot11	592	513	601	656	457	533	440	445
Hist1h1t	0	1	0	2	1	0	0	1
Eif4ebp2	2499	2678	2439	2944	2637	3339	2608	2442
Eif4ebp1	1377	1475	1134	1133	358	271	186	435
Gm6902	0	0	0	0	0	0	0	0
Eif4ebp3	149	147	147	178	103	162	171	234
Gm6904	6	10	6	6	2	4	1	5
Hist1h1b	0	0	3	0	3	9	0	1
Hist1h1c	850	870	892	770	1014	1352	637	1018
Hist1h1a	0	2	0	0	0	5	0	3
Hist1h1d	13	11	14	18	14	31	12	14
Hist1h1e	14	6	5	3	6	12	9	19
Angel2	1006	1042	937	943	732	920	780	627
Angel1	80	88	99	140	133	108	80	76
Cnot10	832	732	874	875	568	733	629	713
Vsig10	519	572	496	517	622	548	415	501
V1rd19	0	0	0	0	0	0	0	0
Mcl1	7198	7062	6575	7172	5214	5038	4852	5964
Bcl9	819	785	808	798	556	501	449	479
Bcl6	392	463	559	734	508	534	546	719
Alb	1	3	1	2	122	214	481	1280
Bcl3	711	541	778	775	528	474	460	790
Bcl2	348	225	365	273	279	407	216	270
Gm17190	0	0	0	0	0	0	0	0
Tsen2	167	100	123	171	64	99	78	102
Pdlim3	36	52	9	25	34	65	98	171
Alk	13	1	0	2	6	7	1	8
Pdlim2	1824	2046	1099	1149	1293	989	1177	1266
Pdlim1	1165	1469	1069	1316	1454	1022	1119	2060
Mcm7	538	577	815	823	504	522	439	707
Vps72	662	743	649	593	514	265	300	530
Mcm8	75	75	79	102	44	85	83	105
Olfr104-ps	0	0	0	2	0	0	0	0
Gm4301	0	0	0	0	0	0	0	0
Mcm9	228	298	201	239	243	302	313	180
Gm4302	0	0	0	0	0	0	0	0
Tnks1bp1	3524	3721	3679	3716	2645	2364	1671	2792
Birc3	1379	1262	1306	1670	803	634	819	702
Gm4303	0	0	0	0	0	0	0	0
Birc2	594	616	688	635	501	546	606	574
Gm4305	0	0	0	0	0	0	0	0
Birc7	0	0	0	0	0	0	0	0
Gm4307	0	0	0	0	0	0	0	0
Pcdhac1	1	0	0	0	2	0	0	0
Pdlim7	875	1087	1023	1288	898	403	265	514
Birc6	2716	2675	2712	3411	3238	4452	3599	3889
Pcdhac2	7	18	6	2	23	39	17	5
Birc5	422	508	710	587	158	145	181	167
Pdlim5	3516	2624	2308	2531	2082	2799	1497	3022
Pdlim4	397	417	377	618	47	45	35	42
Oit1	5	8	13	6	374	164	20	163
Gm29110	0	0	0	0	0	0	0	0
Nfkbil1	112	122	95	76	61	54	36	46
Oit3	5	4	5	2	33	5	9	11
Amh	2	8	5	5	4	1	0	4
Gm17124	0	0	0	0	0	0	0	0
Gm20777	0	0	0	0	0	0	0	0
Amn	9	11	33	146	4	2	0	4
Gm5640	0	2	2	2	0	0	2	5
Gm6970	10	7	9	8	3	7	6	2
Rrp7a	567	595	592	773	439	325	298	383
Dis3	566	579	686	699	370	477	295	365
Gm4312	0	0	0	0	0	0	0	0
Them4	131	90	115	109	69	102	45	86
Amt	155	140	112	190	137	97	122	155
Pmfbp1	0	0	0	0	0	0	0	1
Them5	0	0	2	0	6	5	11	6
Them6	189	169	154	124	180	141	168	211
Them7	0	0	0	0	0	0	0	0
Fam53a	698	733	607	716	366	403	344	475
Fam53b	1514	1768	1332	1358	983	1202	1201	1189
Fam53c	1062	1138	1235	1714	762	843	618	886
Osbp2	32	72	19	20	46	21	4	20
Scgb1b10	0	0	0	0	0	0	0	0
Scgb1b11	0	0	0	0	0	0	0	0
Vps4a	1011	977	911	891	557	508	569	628
Scgb1b12	0	0	0	0	0	0	0	0
Vps4b	1547	1526	1580	1839	2016	2201	1804	1938
Mcm3	575	616	889	1164	373	377	495	515
Mcm4	611	539	925	984	599	513	429	750
Xcl1	5	7	9	5	0	0	0	2
Mcm5	338	476	600	647	280	274	298	259
Ang	380	364	278	229	212	234	329	271
Mcm6	1127	1081	1643	1699	724	883	642	921
3830406C13Rik	192	200	219	192	216	370	283	249
Gm20773	0	0	0	0	0	0	0	0
Pltp	938	977	727	592	658	958	843	538
Ank	7464	3584	4916	5540	287	771	341	372
Gm20772	0	0	0	0	0	0	0	0
Gm29106	3	12	10	7	6	5	3	3
Mcm2	567	598	789	805	360	341	417	659
Inafm2	643	686	571	636	486	706	511	697
Inafm1	438	369	317	226	214	230	202	268
Vps50	756	693	732	838	624	880	680	747
Vps51	22	51	26	10	7	9	9	5
Vps52	564	562	523	614	574	534	584	677
Vps53	468	519	491	513	692	564	512	575
9130008F23Rik	67	118	126	144	231	108	68	148
Vps54	1267	1188	1348	1227	1160	1632	1474	1238
Osbpl1a	472	451	459	456	225	289	295	262
D2hgdh	212	196	205	229	210	275	202	236
Gm5615	0	0	0	0	0	0	0	0
Gm5617	134	152	86	74	28	56	36	65
Gm29133	0	0	0	0	0	0	0	0
Nfs1	550	477	450	555	514	478	358	595
Lrrk1	2403	2384	2464	2485	3187	2840	2329	2952
C1d	579	656	650	650	465	404	405	465
Lrrk2	3253	3283	3544	3524	4073	4600	6952	5240
Arrb2	726	834	836	678	516	379	379	528
Arrb1	1849	1954	1366	1823	2628	2453	2293	2660
Bco2	23	28	23	23	24	32	29	27
Bco1	3	3	0	2	27	90	17	64
Bod1l	969	960	1022	1091	880	1080	1085	928
Tspear	2	0	3	1	0	0	0	1
Vps41	1225	1198	1242	1057	1032	1324	1052	1180
Gm5622	0	0	0	0	0	0	0	0
Hist1h4m	1	3	0	0	1	0	1	3
Gm5624	0	0	0	0	0	0	0	0
Hist1h4n	0	0	0	0	1	0	0	0
Hist1h4k	6	8	7	3	6	0	6	0
Vps45	186	219	177	227	216	278	193	276
Iars2	1431	1273	1409	1182	1328	1693	1114	1518
Folr1	9	0	14	7	0	2	12	20
Folr2	384	176	229	33	36	44	20	17
Dpagt1	572	586	677	850	503	563	593	550
AC117241.1	0	0	0	0	0	0	0	0
Itih5	128	113	76	119	593	135	118	149
Hist1h4f	0	0	0	0	0	0	0	0
Itih4	2295	2622	2913	3176	5255	3301	6865	8859
Hist1h4c	9	9	2	3	7	2	3	0
Itih3	19	23	28	46	11	4	16	20
Hist1h4d	1	6	2	3	2	1	6	0
Itih2	41	28	33	37	315	1171	528	1252
Hist1h4i	62	83	91	101	26	11	16	33
Apc	3434	3273	3262	3693	3029	4407	4222	4512
Hist1h4j	3	5	1	0	0	1	2	4
Hist1h4h	8	2	5	1	14	0	3	16
Hist1h4a	0	1	0	11	0	0	1	1
Itih1	218	164	188	161	136	99	190	112
Gm20792	0	0	0	0	0	0	0	0
Hist1h4b	3	1	2	1	0	2	0	4
Gm20795	0	0	0	0	0	0	0	0
Enox1	166	98	74	103	2	3	11	10
App	15905	14456	15028	15259	13515	14361	13553	15135
Enox2	165	163	140	181	218	244	233	210
Abcb10	443	453	390	558	314	449	292	328
Prl3d3	0	6	0	0	0	0	0	0
Surf6	419	392	404	464	315	281	229	382
Prl3d1	0	0	0	0	0	0	0	0
Prl3d2	1	2	41	3	0	0	0	0
Fnip1	1172	1109	1121	1172	1197	1356	1348	1017
Fnip2	1509	1137	1171	958	939	1077	1125	1076
Sh3glb1	4559	4420	4955	4792	3047	3721	2870	2991
Sh3glb2	679	741	648	713	549	539	400	745
Nfu1	309	365	349	332	428	211	260	398
Cyp1b1	139	123	691	211	399	420	321	601
Cxxc1	939	992	856	816	749	743	700	1125
Gsap	2254	2230	1983	2273	2150	2051	3032	2363
Gsc2	0	0	0	0	0	0	0	0
Bcor	892	696	722	782	667	693	792	660
Cxxc4	177	100	131	15	2	15	10	44
Scamp3	877	886	913	955	767	746	536	778
Cxxc5	827	721	1112	1360	356	334	112	204
Scamp2	1309	1353	1381	1312	1658	1451	1141	1465
Scamp1	2020	1714	1675	1819	2185	2569	2890	2790
1700012B07Rik	3	0	2	1	2	4	5	0
4930480E11Rik	0	0	0	0	0	0	0	0
Scamp5	396	270	339	362	349	329	193	401
Aqr	997	1027	1077	1094	957	1070	916	1229
Scamp4	10	0	7	6	4	1	1	4
Grpel2	1217	1347	1108	1386	707	865	735	1019
Vps37a	865	897	907	1151	1251	1755	1173	1315
Vps37b	470	476	526	379	304	189	133	256
Vps37c	997	933	770	561	408	443	425	482
Grpel1	900	823	778	747	538	435	365	630
Vps37d	62	83	46	53	17	7	18	24
Prl3c1	0	0	0	0	0	0	0	0
Cmklr1	598	436	493	602	434	468	389	194
Scn10a	1	1	5	1	0	0	0	3
C4b	2897	1908	2599	1590	1595	1903	1256	2213
Cnot6l	1392	1457	1479	1639	1442	2322	1624	1759
Tram1l1	61	111	74	12	0	13	6	2
Arc	61	45	54	36	51	32	28	61
Cyp1a1	5	49	14	13	44	94	55	16
Svbp	488	444	492	394	124	96	85	143
Cyp1a2	0	0	0	0	0	0	0	0
Hnrnpr	1565	1623	1797	1921	1078	1337	1274	1493
Pcdhb16	28	22	27	36	27	70	54	36
Prl3b1	0	0	0	0	0	0	0	0
Pcdhb17	61	78	121	93	34	58	64	53
Arx	0	0	0	0	0	0	0	0
Pcdhb18	20	16	16	19	12	14	20	21
Hnrnpu	0	0	2	2	0	0	0	0
Pcdhb19	13	10	13	37	9	44	38	9
Scgb1b17	0	0	0	0	0	0	0	0
Scgb1b18	0	0	0	0	0	0	0	0
Scgb1b15	0	0	0	0	0	0	0	0
Scgb1b19	0	0	0	0	0	0	0	0
Scgb1b20	0	0	0	0	0	0	0	0
C130060K24Rik	0	0	3	0	0	1	0	0
Saxo2	71	58	64	84	56	166	99	55
Saxo1	2	0	0	0	0	0	0	0
Scgb1b24	0	0	0	0	0	0	0	0
Krtap4-8	0	0	0	0	0	0	0	0
Pcdhb12	8	16	9	3	13	15	6	17
Krtap4-7	0	0	0	0	0	0	0	0
Pcdhb13	11	4	9	15	10	10	8	8
4930404N11Rik	0	0	0	0	0	0	0	0
Gse1	652	480	631	602	842	642	651	767
Krtap4-6	0	1	0	0	0	0	0	0
Pcdhb14	24	28	26	38	12	28	16	22
Asl	345	406	350	359	367	379	245	455
Pcdhb15	7	2	10	6	2	3	9	7
6030452D12Rik	0	0	0	0	0	0	0	0
Pcdhb10	9	13	12	21	16	25	31	14
Krtap4-9	0	0	0	0	0	0	0	0
Pcdhb11	9	19	4	6	12	11	8	15
Acer1	0	0	0	0	0	0	0	0
Slxl1	0	0	0	0	0	0	0	0
Acer2	751	798	406	529	874	1324	1104	1254
Cftr	160	118	115	138	267	561	486	132
Xcr1	72	138	38	41	19	57	30	21
Prl3a1	0	0	0	1	0	0	0	0
Acer3	850	798	943	1040	880	1224	1191	1242
Krtap4-2	0	0	0	0	0	0	0	0
Krtap4-1	0	0	0	0	0	0	0	0
Scgb1b29	0	0	0	0	0	0	0	0
Lrrn1	1	0	7	2	54	22	19	37
Scgb1b27	0	0	0	0	0	0	0	0
Scgb1b30	0	1	4	0	2	15	0	2
Surf1	330	333	351	322	324	292	267	349
Lrrn2	66	47	174	135	21	14	11	8
Surf2	162	146	168	157	99	112	120	226
Hnrnpc	2175	2173	2589	3156	2033	2396	1983	2310
Lrrn3	481	149	134	56	23	50	33	34
Hnrnpd	1507	1644	1793	1805	1246	1474	1262	1711
Lrrn4	32	6	105	74	47	74	31	10
Surf4	5249	4908	5092	5931	3802	4816	3154	5574
Hnrnpf	4461	4730	4007	3832	2721	2403	2193	3766
Atm	298	238	360	486	434	545	488	332
Hnrnpk	4258	4569	4886	4606	3444	4316	3152	4609
Paics	3045	3221	2918	2822	3042	3649	3015	4795
Pcdhb20	28	21	23	45	26	19	20	24
Atr	516	487	484	563	316	541	466	406
Hnrnpl	3096	3376	3293	3468	2690	2509	2499	3290
Pcdhb21	7	4	16	35	7	10	8	6
Hnrnpm	2877	2773	3134	3480	1966	1666	1638	2415
Pcdhb22	83	141	287	421	36	46	33	29
Glt1d1	22	15	15	19	61	35	42	51
Aldh3a2	1667	1594	1450	1732	1569	1926	1688	2383
Aldh3a1	77	71	50	30	57	164	61	150
Olfr1438-ps1	0	0	0	0	0	0	0	0
Il22ra2	4	5	1	2	4	15	12	1
Rsf1	859	999	1148	984	1035	1302	979	1124
Gsg1	32	12	9	1	12	4	2	9
Auh	397	339	301	257	288	328	271	321
Colca2	29	44	31	33	36	41	43	46
Rsrc2	1042	999	1017	1172	945	1032	1072	1395
Pdrg1	438	444	378	546	275	330	262	477
Tyk2	813	659	669	857	725	595	608	546
Rsrc1	654	605	559	415	368	414	393	443
Lelp1	2	3	3	6	6	15	3	1
Glycam1	5	2	0	0	0	0	0	0
C8b	0	0	0	0	0	0	0	0
C8a	2	1	0	0	0	0	0	0
C8g	61	43	46	51	38	80	35	66
Nfx1	1585	1573	1240	1448	1085	1299	1104	1743
Avp	0	0	0	0	0	0	0	0
Rsl24d1	358	387	435	478	204	220	197	240
Svil	1986	1831	1905	2729	2761	2856	2860	3093
Nfyb	347	317	461	448	363	427	326	450
Deptor	1222	1294	1227	806	969	1440	1366	1358
Nfya	0	0	0	0	0	0	0	0
Nfyc	474	455	497	565	283	213	311	330
Scn11a	9	6	8	20	0	0	1	0
Lmcd1	147	179	111	136	111	161	113	193
Svip	81	89	129	88	271	296	191	189
Abcb1a	361	662	888	985	811	956	542	839
Abcb1b	316	298	596	738	96	80	41	42
Sec14l1	3108	2622	2881	3210	2607	2465	2353	3040
Sec14l2	291	355	232	244	287	211	359	311
Sec14l3	3329	4479	2659	2520	3979	6279	5394	2749
Sec14l4	1152	1766	1034	878	950	1085	1314	1037
Sec14l5	7	17	14	10	12	14	20	13
Emc2	462	441	489	476	304	393	366	506
Qpct	177	178	139	243	309	312	408	355
Emc1	991	973	983	1172	735	795	703	843
Emc4	326	362	413	478	362	353	343	486
Sebox	0	0	0	0	0	0	0	0
Tmub1	210	219	160	202	162	108	90	144
Emc3	1419	1413	1466	1358	1290	1569	1193	1575
Emc6	1109	1376	1195	1244	713	825	812	1095
Emc8	518	563	555	656	389	383	365	419
Emc7	1104	1137	1197	1074	663	1039	869	1064
Emc9	69	81	70	68	55	16	48	60
Tmub2	677	723	601	653	544	552	448	550
Mcub	471	488	395	354	65	92	39	77
Rsg1	20	9	8	15	9	3	1	6
AU021092	472	450	457	486	1150	1637	1513	3960
Pbld1	4	17	2	1	13	12	27	23
Axl	11994	9856	12270	8419	3697	2834	3367	2650
Il22ra1	7	1	5	17	65	93	23	84
Iglon5	89	92	29	40	16	15	4	11
Aarsd1	0	0	0	0	0	0	0	0
Gm30191	0	0	0	0	0	0	0	0
Pbld2	120	112	43	75	186	236	274	726
Abcb11	16	37	19	4	6	5	0	4
Creg2	34	35	56	63	78	34	75	49
Creg1	1818	1875	1750	1570	1876	1754	1967	1976
Rsrp1	3720	3941	2985	4242	2515	2484	2788	2888
Timm17a	933	974	1020	1103	440	577	421	442
Timm17b	271	306	304	278	171	184	129	212
Iltifb	0	0	0	0	0	0	0	0
Emcn	317	381	292	578	348	579	528	612
Eme2	121	109	97	139	174	158	168	238
Eme1	36	36	49	77	26	16	10	18
Dkkl1	11	11	3	6	3	0	10	9
Tymp	46	38	21	22	31	55	24	23
Tyms	204	219	286	302	130	128	120	180
4930562C15Rik	91	74	37	32	62	106	54	55
Rsl1	142	132	166	177	57	119	74	102
Gm20807	0	0	0	0	0	0	0	0
5530401A14Rik	0	0	0	1	0	0	0	0
Gm20806	0	0	0	0	0	0	0	0
Gm20809	0	0	0	0	0	0	0	0
Rccd1	81	94	93	80	63	49	58	61
A130010J15Rik	115	113	120	150	95	154	83	102
Pmf1	247	277	351	219	162	164	155	223
Xxylt1	846	608	771	611	306	476	298	489
Csf2rb2	828	531	741	771	804	476	651	604
Emg1	1075	981	839	798	439	394	367	792
5730522E02Rik	0	0	0	1	0	0	1	0
A530032D15Rik	9	5	3	3	1	0	1	2
Tom1l2	1229	1239	975	926	1072	1127	1073	880
Tom1l1	386	389	407	408	745	1159	884	1120
Aldh3b1	855	819	655	692	533	543	490	623
